,total reward,targets hit
384,282432.35859022563,5
385,174846.05821867724,4
386,359661.37155221193,6
387,532657.7262586636,8
388,279921.7355569221,5
389,258695.6231802224,5
390,231865.12738185935,4
391,238349.15670362968,4
392,490699.4125960526,6
393,207827.0341477258,4
394,247370.425942061,5
395,141097.6250517604,4
396,117833.18836695787,3
397,277074.6805261724,5
398,261416.71917898525,5
399,633400.859134998,6
400,166145.15500877102,4
401,390417.02267728455,6
402,329329.21162530273,6
403,504164.50197417196,6
404,308935.6221094247,5
405,128292.7893249407,3
406,187524.92664981465,4
407,292740.03785406146,6
408,286774.66023541905,5
409,195939.71184255992,4
410,218686.90892017903,4
411,203634.0066060769,4
412,244297.83532102004,4
413,494476.264977331,6
414,454772.36964691756,6
415,426534.84354015323,6
416,285722.24804782105,5
417,668105.8243724052,8
418,231253.75549261933,4
419,455527.7392783758,6
420,369361.71257587394,6
421,219293.51788285232,5
422,333114.98638574407,5
423,175666.9434778333,5
424,334234.0453040122,5
425,346789.73850678746,5
426,170799.4150848281,4
427,257038.59138316964,5
428,230870.32820435,4
429,315127.2744012652,6
430,237846.1336486084,4
431,174128.22092405983,4
432,283769.3915447134,5
433,271595.76530571136,5
434,195018.69213866993,5
435,622494.8987880752,7
436,152204.4980862671,4
437,373240.4689178163,5
438,274214.32002331986,5
439,335101.97649459366,5
440,365796.0395872515,5
441,473550.5438713237,6
442,242507.3986222741,5
443,119194.79729479154,3
444,271780.53867078724,5
445,187204.98548455094,4
446,349404.9698618552,6
447,353970.6631657491,6
448,342444.9743261939,5
449,552711.7622907991,6
450,271069.4549176383,6
451,255552.97448420283,5
452,698743.534099497,7
453,364863.3324384871,6
454,437944.1267960603,6
455,314898.5377139192,5
456,27385.015014645003,2
457,322383.93315126025,5
458,373804.5809699568,6
459,363079.6773983962,5
460,265505.3637961793,5
461,219484.75315426668,5
462,397690.82490354765,6
463,199546.75960004062,4
464,353399.0208182621,6
465,379720.2709309086,5
466,233336.96519277658,4
467,208389.40985570278,4
468,525247.3728509314,6
469,241260.76666789802,5
470,231001.02905966577,4
471,336501.55057142756,5
472,354040.2404772502,5
473,306857.6363521464,6
474,390766.2233771678,6
475,224081.07179427898,5
476,495077.10748338426,7
477,231887.2974096007,4
478,101583.98051203988,3
479,118984.9431196325,3
480,365838.4019347363,5
481,356755.39349579834,6
482,297519.7763041797,6
483,397329.66217500716,6
484,205167.28830005322,5
485,214836.5330328061,4
486,118766.490331093,4
487,226517.3227905396,4
488,225489.34316271901,4
489,366117.5930258927,6
490,305760.1644149524,5
491,605521.5786033575,8
492,324062.1136215153,6
493,201707.07444249548,5
494,228540.92857355354,4
495,374652.2306464234,5
496,234851.96738827505,4
497,218307.62234321088,5
498,292583.8347780774,5
499,262733.7228917419,5
500,193429.92124924017,5
501,155672.40079098797,4
502,311963.1006851919,6
503,238510.87692122802,5
504,232863.71308304975,4
505,120081.36738746549,3
506,440728.8309103338,6
507,344253.5262110948,5
508,328332.9061928466,6
509,257610.07497426117,5
510,552674.310937236,6
511,300770.3062015139,5
512,331616.2301694509,5
513,455169.8787070584,6
514,404536.48212332913,5
515,20372.164256700817,2
516,267728.8126338818,4
517,253207.09563215196,5
518,239444.90338420123,4
519,227886.9080786883,4
520,218072.5147830462,4
521,102113.95333160553,3
522,308229.2780270461,5
523,347041.5276434168,5
524,103257.66128150436,4
525,181083.7624171454,4
526,454724.6842853142,6
527,53543.688242870936,3
528,155234.80487871016,4
529,363162.22065000987,5
530,112761.71768215517,3
531,205533.37728872598,4
532,379162.5080670897,5
533,443183.6052246278,6
534,256909.17879755714,5
535,378309.7698602431,6
536,470833.02816602966,6
537,289372.17903083505,5
538,302267.5364477255,5
539,276871.3293972812,5
540,381492.18473787734,5
541,238274.29274713265,4
542,221149.3441791759,4
543,442450.4537087478,6
544,84572.00185896948,3
545,217711.2567604805,4
546,400491.50227797974,6
547,355116.96374225785,6
548,201446.38268893078,4
549,251256.93327187712,4
550,205306.26345514494,4
551,25863.839545815827,3
552,370504.86821758753,5
553,321768.4071678643,6
554,178479.85306464153,4
555,876848.4231012622,8
556,128854.46646592728,4
557,233383.97913764004,4
558,592676.8794732266,6
559,474495.5961005122,6
560,280181.27496152656,5
561,591610.7523134075,7
562,319461.4803511427,6
563,238490.13215008107,4
564,127996.9135917883,3
